dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
mimic-11site,CSRU-care,1,3483,3483,5985,35,1.7183462532299743,207,4.142857142857143,0.7567567567567568,68.25536523967418,0.9853320042795495,0.009283310426749958,1
mimic-11site,CSRU-care,1,3483,3483,5985,35,1.7183462532299743,207,4.142857142857143,0.7567567567567568,25.38496134688328,0.9601032859387775,-0.0008934797977793174,0
mimic-11site,CSRU-care,3,3483,1527,9272,35,2.662072925638817,207,4.142857142857143,0.6052631578947368,315.97263517495514,0.992496142563156,0.04693455011228309,1
mimic-11site,CSRU-care,3,3483,1527,9272,35,2.662072925638817,207,4.142857142857143,0.6052631578947368,177.24232969160644,0.9899720181666929,0.016867869359673826,1
mimic-11site,CSRU-care,2,3483,2276,4765,35,1.3680734998564457,207,4.142857142857143,0.6216216216216216,163.75473736603482,0.9916761580316471,0.04883744381836769,1
mimic-11site,CSRU-care,2,3483,2276,4765,35,1.3680734998564457,207,4.142857142857143,0.6216216216216216,146.00535219355362,0.9863018720207689,0.018991872126109532,1
mimic-11site,CSRU-care,1,3483,1527,1527,35,0.4384151593453919,207,4.142857142857143,0.7567567567567568,68.43805741333125,0.9849165155099576,0.04812667860208897,1
mimic-11site,CSRU-care,1,3483,1527,1527,35,0.4384151593453919,207,4.142857142857143,0.7567567567567568,34.748415775686226,0.9712182377374292,0.00467785971055068,1
mimic-11site,CSRU-meta,4,2031,1535,12215,36,6.014278680452978,83,1.6111111111111112,0.575,358.9873557359952,0.9890647841744504,0.07526026090167692,1
mimic-11site,CSRU-meta,4,2031,1535,12215,36,6.014278680452978,83,1.6111111111111112,0.575,322.1985366732565,0.9886365202626788,-0.03185578527109548,0
mimic-11site,CSRU-meta,3,2031,1880,6878,36,3.3865091088133923,83,1.6111111111111112,0.575,216.98854661991632,0.9875618684129892,0.05886874543053866,1
mimic-11site,CSRU-meta,3,2031,1880,6878,36,3.3865091088133923,83,1.6111111111111112,0.575,393.1287245414609,0.9916290042768732,0.011169264745175989,1
mimic-11site,CSRU-meta,3,2031,1527,6525,36,3.212703101920236,83,1.6111111111111112,0.575,379.02107444422313,0.9914398959378171,0.07580964179198091,1
mimic-11site,CSRU-meta,3,2031,1527,6525,36,3.212703101920236,83,1.6111111111111112,0.575,323.61562463790796,0.9907220801742791,-0.008219750416273791,0
mimic-11site,CSRU-meta,3,2031,1535,11003,36,5.41752831117676,83,1.6111111111111112,0.575,236.91184706504197,0.9903029325807133,0.026422610041697825,1
mimic-11site,CSRU-meta,3,2031,1535,11003,36,5.41752831117676,83,1.6111111111111112,0.575,106.18074476953977,0.985438589239083,-0.0649465519631274,0
mimic-11site,CSRU-meta,4,2031,1535,12976,36,6.388970950270803,83,1.6111111111111112,0.575,304.4424227488285,0.9887983162980671,0.02115014198650489,1
mimic-11site,CSRU-meta,4,2031,1535,12976,36,6.388970950270803,83,1.6111111111111112,0.575,244.7162172256057,0.9888101495368551,-0.058095940449148065,0
mimic-11site,CSRU-meta,2,2031,1527,3062,36,1.5076317085179713,83,1.6111111111111112,0.575,140.5163879719312,0.9879791903094559,0.048916390134432386,1
mimic-11site,CSRU-meta,2,2031,1527,3062,36,1.5076317085179713,83,1.6111111111111112,0.575,137.1884223101478,0.986405307988691,-0.04921332942300821,0
mimic-11site,CSRU-meta,2,2031,2031,5759,36,2.8355489906450027,83,1.6111111111111112,0.6052631578947368,132.9943340416512,0.9895761363102182,0.011679826930741377,1
mimic-11site,CSRU-meta,2,2031,2031,5759,36,2.8355489906450027,83,1.6111111111111112,0.6052631578947368,85.94273740059779,0.9767286909808613,-0.03273863381216904,0
mimic-11site,CSRU-meta,1,2031,2031,5469,36,2.692762186115214,83,1.6111111111111112,0.6578947368421053,59.13257648681628,0.9830888478160097,0.03469373279346499,1
