dataset,target,seed,n_partners,n_target,epv_target,kind,benefit,helped,slope_last,climb_half,level
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,4,8420,7.222222222222222,gb,-0.007608601882512778,0,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,4,8420,7.222222222222222,lr,-0.0068237910206716546,0,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,4,8420,7.222222222222222,gb,-0.030662179366870435,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,1,8420,7.222222222222222,lr,0.011535017049629503,1,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,1,8420,7.222222222222222,gb,0.011863299775213942,1,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,1,8420,7.222222222222222,lr,-0.00861774382945224,0,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,1,8420,7.222222222222222,gb,-0.0032582988911339927,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,2,8420,7.222222222222222,lr,0.007438667149809841,1,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,2,8420,7.222222222222222,gb,0.0005196353312944546,1,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,2,8420,7.222222222222222,lr,-0.02633017645829322,0,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,2,8420,7.222222222222222,gb,-0.008871701803535526,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,3,8420,7.222222222222222,lr,0.030835006846198054,1,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,3,8420,7.222222222222222,gb,-0.04482949100683947,0,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,3,8420,7.222222222222222,lr,0.0002967717072026588,1,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,3,8420,7.222222222222222,gb,-0.0687326598067517,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,3,8420,7.222222222222222,lr,0.028048986541919674,1,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,3,8420,7.222222222222222,gb,-0.007637564628197091,0,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,3,8420,7.222222222222222,lr,-0.006018138688237529,0,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,3,8420,7.222222222222222,gb,-0.026148535799166817,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,1,8420,7.222222222222222,lr,0.021861051688127853,1,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,1,8420,7.222222222222222,gb,-0.026151609751174754,0,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,1,8420,7.222222222222222,lr,0.01971849666636949,1,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,1,8420,7.222222222222222,gb,-0.04317996938166163,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Coronary Care Unit (CCU),0,1,5371,19.970588235294116,lr,-0.011668829892867494,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,1,5371,19.970588235294116,gb,-0.004834761389605369,0,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,1,5371,19.970588235294116,lr,0.011875276823169634,1,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,1,5371,19.970588235294116,gb,0.03259721801345555,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,3,5371,19.970588235294116,lr,-0.11343717270126524,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,3,5371,19.970588235294116,gb,0.003923101628007297,1,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,3,5371,19.970588235294116,lr,-0.05658416512673897,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,3,5371,19.970588235294116,gb,0.012706812797227296,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,4,5371,19.970588235294116,lr,-0.08591211258555398,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,4,5371,19.970588235294116,gb,-0.010992996327755633,0,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,4,5371,19.970588235294116,lr,-0.058955397480899785,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,4,5371,19.970588235294116,gb,0.02399332958851841,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,4,5371,19.970588235294116,lr,-0.06023796456129915,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,4,5371,19.970588235294116,gb,-0.01253612085054584,0,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,4,5371,19.970588235294116,lr,-0.04843326603321668,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,4,5371,19.970588235294116,gb,0.02961859436884795,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,2,5371,19.970588235294116,lr,-0.04355680894388936,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,2,5371,19.970588235294116,gb,0.0004468108842354823,1,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,2,5371,19.970588235294116,lr,-0.04807527043287929,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,2,5371,19.970588235294116,gb,0.013783700232833263,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,1,5371,19.970588235294116,lr,-0.004630423378961024,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,1,5371,19.970588235294116,gb,-0.025860114172527038,0,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,1,5371,19.970588235294116,lr,-0.009145445271933061,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,1,5371,19.970588235294116,gb,-0.011069299586970172,0,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,2,5371,19.970588235294116,lr,-0.0208548187750372,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,2,5371,19.970588235294116,gb,0.0022806477254527224,1,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,2,5371,19.970588235294116,lr,-0.023374811617589697,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,2,5371,19.970588235294116,gb,0.026449616944303644,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Coronary Care Unit (CCU),0,1,5371,19.970588235294116,lr,-0.008931921966790768,0,0.0016015044432774858,0.07007495331132885,0.4343310087656693
mimic4-9site,Coronary Care Unit (CCU),0,1,5371,19.970588235294116,gb,0.0034815950759825576,1,-0.0033497168979590565,0.031563552800118785,0.44732918717549824
mimic4-9site,Coronary Care Unit (CCU),1,1,5371,19.970588235294116,lr,-0.011096379527847255,0,-0.006975100559121349,0.008499747065587804,0.4208116436605583
mimic4-9site,Coronary Care Unit (CCU),1,1,5371,19.970588235294116,gb,0.01395330906348674,1,-0.012615942370614265,0.009261767737681604,0.4259286317247511
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,lr,-0.024075205498870378,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,gb,-0.0012217936127598694,0,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,lr,-0.01259421823052237,0,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,gb,-0.00619767742620303,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
