target,target_db,seed,n_partners,n_cross,frac_cross,epv_target,n_target,benefit,helped
m3:MICU-meta,0,1,2,2,1.0,27.96,5469,-0.017364829698846784,0
m3:MICU-meta,0,0,1,1,1.0,27.96,5469,0.0003634144333526934,1
m3:MICU-meta,0,1,1,1,1.0,27.96,5469,-0.03378877182994078,0
m3:MICU-meta,0,0,2,2,1.0,27.96,5469,-0.00489744918533791,0
m3:MICU-meta,0,1,2,2,1.0,27.96,5469,-0.011360358758960354,0
m3:SICU-care,0,0,1,0,0.0,11.448275862068966,2489,-0.02907104057158927,0
m3:SICU-care,0,1,1,0,0.0,11.448275862068966,2489,-0.02356718641696548,0
m3:SICU-care,0,0,3,1,0.3333333333333333,11.448275862068966,2489,-0.05537744726324195,0
m3:SICU-care,0,1,3,1,0.3333333333333333,11.448275862068966,2489,-0.05287875037057821,0
m3:SICU-care,0,0,4,1,0.25,11.448275862068966,2489,-0.028766714026503604,0
m3:SICU-care,0,1,4,1,0.25,11.448275862068966,2489,-0.014549583926227128,0
m3:SICU-care,0,0,2,1,0.5,11.448275862068966,2489,-0.027139663641607803,0
m3:SICU-care,0,1,2,1,0.5,11.448275862068966,2489,-0.01678559168177307,0
m3:SICU-care,0,0,1,0,0.0,11.448275862068966,2489,-0.029792877937760587,0
m3:SICU-care,0,1,1,0,0.0,11.448275862068966,2489,-0.03142286769559188,0
m3:SICU-care,0,0,2,0,0.0,11.448275862068966,2489,-0.059474664614824424,0
m3:SICU-care,0,1,2,0,0.0,11.448275862068966,2489,-0.0287770472686924,0
m3:SICU-care,0,0,3,2,0.6666666666666666,11.448275862068966,2489,-0.03502874622737229,0
m3:SICU-care,0,1,3,2,0.6666666666666666,11.448275862068966,2489,-0.022203840632830596,0
m3:SICU-care,0,0,3,2,0.6666666666666666,11.448275862068966,2489,-0.01610623871819933,0
m3:SICU-care,0,1,3,2,0.6666666666666666,11.448275862068966,2489,-0.05500516644523734,0
m3:SICU-care,0,0,1,0,0.0,11.448275862068966,2489,-0.04745635119621244,0
m3:SICU-care,0,1,1,0,0.0,11.448275862068966,2489,-0.04152125866341316,0
m3:SICU-care,0,0,4,1,0.25,11.448275862068966,2489,-0.051651505372614315,0
m3:SICU-care,0,1,4,1,0.25,11.448275862068966,2489,-0.032356767892419536,0
m3:SICU-care,0,0,2,1,0.5,11.448275862068966,2489,-0.02412303495547169,0
