dataset,target,seed,epv_target,k_partners,bias2,variance,auprc,n_draws
mimic-11site,MICU-care,1,32.666666666666664,1,0.28521005676394084,0.4593922942130491,0.38541917674716064,24
mimic-11site,MICU-care,1,32.666666666666664,2,0.5040799513958099,0.2898617513758152,0.38386831811643046,24
mimic-11site,MICU-care,1,32.666666666666664,3,0.6197439322048736,0.28956622422041256,0.38500942423467044,24
mimic-11site,MICU-care,1,32.666666666666664,4,0.697188413932175,0.19436903432644406,0.38269504400155285,24
mimic-11site,MICU-meta,0,25.9,0,0.05181106859772354,0.2728524717564564,0.37642959043913193,24
mimic-11site,MICU-meta,0,25.9,1,0.12239305447280859,0.3278324978301727,0.3504422772937281,24
mimic-11site,MICU-meta,0,25.9,2,0.28864705644512056,0.23102912294461306,0.34925821585644606,24
mimic-11site,MICU-meta,0,25.9,3,0.3307160251740821,0.19357759669829733,0.3355640303076801,24
mimic-11site,MICU-meta,0,25.9,4,0.3638338188209768,0.12329564327906961,0.33594380028419907,24
mimic-11site,MICU-meta,1,25.9,0,0.023200052632262085,0.3314123473667984,0.38734102524549446,24
mimic-11site,MICU-meta,1,25.9,1,0.109552815642174,0.3011368957407121,0.3674595021369533,24
mimic-11site,MICU-meta,1,25.9,2,0.24111345846005755,0.230673526138737,0.3638387871056823,24
mimic-11site,MICU-meta,1,25.9,3,0.31497430437031776,0.1967483600427271,0.3544356903370489,24
mimic-11site,MICU-meta,1,25.9,4,0.4259987352516224,0.14644654135951393,0.35570531737958505,24
mimic-11site,SICU-care,0,10.703225806451611,0,0.11487080025180513,0.6816802932909956,0.35357108430233136,24
mimic-11site,SICU-care,0,10.703225806451611,1,0.6355943081609025,0.6382980326172815,0.3299427335241464,24
mimic-11site,SICU-care,0,10.703225806451611,2,0.829665130186179,0.49549137171325736,0.3196596797516969,24
mimic-11site,SICU-care,0,10.703225806451611,3,1.000424648563014,0.33762836838478294,0.32050180658449384,24
mimic-11site,SICU-care,0,10.703225806451611,4,1.0086153025338815,0.19303120518733716,0.31825201328817204,24
mimic-11site,SICU-care,1,10.703225806451611,0,0.13162703681712248,0.7415781154382519,0.3462253327833544,24
mimic-11site,SICU-care,1,10.703225806451611,1,0.7263499969141503,0.8520186073392138,0.3485522086119495,24
mimic-11site,SICU-care,1,10.703225806451611,2,1.1160971349150632,0.5450813612906406,0.3483435305473122,24
mimic-11site,SICU-care,1,10.703225806451611,3,1.5834671847219928,0.409432599369568,0.34272868999737666,24
mimic-11site,SICU-care,1,10.703225806451611,4,1.5765686678714055,0.2831634945039378,0.3484575965059573,24
mimic-11site,SICU-meta,0,9.548,0,0.36711798408115504,0.6784639963474159,0.25547926146837513,24
mimic-11site,SICU-meta,0,9.548,1,1.3284179029638967,0.6430758890288599,0.23640343530846317,24
mimic-11site,SICU-meta,0,9.548,2,1.7336764206043431,0.38076732836388266,0.23913925353501728,24
mimic-11site,SICU-meta,0,9.548,3,1.9494406207460306,0.19434382996999222,0.24500685917235476,24
mimic-11site,SICU-meta,0,9.548,4,2.1291936982914828,0.1158445035744005,0.2403529192497463,24
mimic-11site,SICU-meta,1,9.548,0,0.4282120181754643,0.8475798168518217,0.2563805413120419,24
mimic-11site,SICU-meta,1,9.548,1,0.8000217136997141,0.5852802258014479,0.26176216942622016,24
